statefp,countyfp,n_streets,conf_streets_surname,conf_streets_both
13,001,1301,16,0
13,003,550,1,0
13,005,727,5,0
13,007,283,2,0
13,009,1272,11,0
13,011,679,2,0
13,013,2064,4,0
13,015,4265,20,0
13,017,843,10,1
13,019,1042,21,0
13,021,5906,25,0
13,023,680,12,0
13,025,604,8,0
13,027,874,8,0
13,029,1284,9,0
13,031,2951,41,0
13,033,1005,9,0
13,035,858,6,0
13,037,365,3,0
13,039,2675,12,0
13,043,602,7,0
13,045,3495,20,0
13,047,2318,32,4
13,049,643,8,0
13,051,8698,28,0
13,053,585,3,0
13,055,1149,3,0
13,057,7508,27,0
13,059,3167,13,0
13,061,260,2,0
13,063,5397,52,1
13,065,508,9,0
13,067,23552,119,0
13,069,1884,16,0
13,071,1770,10,0
13,073,3190,9,0
13,075,960,8,0
13,077,3753,29,0
13,079,461,4,0
13,081,881,3,0
13,083,813,9,0
13,085,1643,3,0
13,087,1396,9,0
13,089,15101,81,14
13,091,1170,4,1
13,093,831,4,0
13,095,2612,16,0
13,097,3835,29,0
13,099,645,2,0
13,101,399,2,0
13,103,1939,6,0
13,105,1095,3,0
13,107,1421,11,0
13,109,665,3,0
13,111,2885,8,0
13,113,4242,84,0
13,115,3150,19,0
13,117,5786,37,0
13,119,1251,11,0
13,121,24395,254,0
13,123,2942,7,0
13,125,233,0,0
13,127,3477,25,0
13,129,1914,12,0
13,131,1002,6,0
13,133,1397,4,3
13,135,18386,124,0
13,137,2560,13,0
13,139,5284,42,0
13,141,745,8,0
13,143,1520,16,0
13,145,1308,3,0
13,147,1725,7,0
13,149,448,4,0
13,151,6102,89,0
13,153,4922,52,0
13,155,703,14,8
13,157,2471,15,0
13,159,1055,3,0
13,161,795,8,0
13,163,1001,35,24
13,165,589,3,0
13,167,499,6,0
13,169,950,14,0
13,171,593,2,0
13,173,550,8,0
13,175,2093,12,1
13,177,745,9,3
13,179,2118,14,0
13,181,506,3,0
13,183,542,6,0
13,185,3482,40,0
13,187,1957,21,0
13,189,747,13,0
13,191,897,4,0
13,193,740,1,0
13,195,1198,10,0
13,197,422,1,0
13,199,1250,7,0
13,201,361,1,0
13,205,883,8,0
13,207,1087,18,0
13,209,485,6,0
13,211,854,5,0
13,213,1173,4,0
13,215,4075,19,1
13,217,2646,17,0
13,219,1269,9,0
13,221,716,1,0
13,223,4756,64,0
13,225,1273,6,0
13,227,2304,9,0
13,229,1101,10,0
13,231,552,2,0
13,233,1910,20,0
13,235,597,6,0
13,237,1022,6,0
13,239,207,0,0
13,241,2553,16,0
13,243,460,4,1
13,245,5376,17,0
13,247,2448,4,0
13,249,185,0,0
13,251,792,5,0
13,253,541,2,0
13,255,1726,6,0
13,257,1399,17,0
13,259,409,2,1
13,261,1131,17,1
13,263,441,1,0
13,265,235,0,0
13,267,1405,7,0
13,269,595,10,0
13,271,841,2,0
13,273,522,17,0
13,275,2000,19,0
13,277,1467,21,0
13,279,1286,16,0
13,281,1235,3,0
13,283,405,1,0
13,285,1995,31,0
13,287,688,33,19
13,289,527,8,0
13,291,2945,15,0
13,293,1040,10,0
13,295,2599,40,1
13,297,2275,14,0
13,299,2068,26,0
13,301,493,9,2
13,303,1078,10,0
13,305,1408,7,0
13,307,184,0,0
13,309,402,2,0
13,311,2213,8,0
13,313,2802,23,0
13,315,622,3,0
13,317,595,1,0
13,319,667,5,0
13,321,1000,9,0
37,001,4972,39,0
37,003,1832,11,0
37,005,1544,4,0
37,007,1346,8,0
37,009,2409,11,0
37,011,2192,11,0
37,013,2563,12,0
37,015,950,7,0
37,017,1827,20,0
37,019,7606,20,0
37,021,13310,47,0
37,023,4257,12,0
37,025,6258,13,0
37,027,4038,20,0
37,029,355,0,0
37,031,3644,35,0
37,033,999,2,0
37,035,6248,25,0
37,037,3634,23,3
37,039,3582,17,0
37,041,607,1,0
37,043,1312,5,0
37,045,4422,25,0
37,047,2613,14,0
37,049,3199,10,0
37,051,10431,35,1
37,053,1608,4,0
37,055,3059,12,0
37,057,6087,41,0
37,059,1991,6,0
37,061,2747,25,0
37,063,11253,55,0
37,065,1907,10,0
37,067,13151,56,0
37,069,2828,14,0
37,071,7926,70,4
37,073,382,0,0
37,075,881,2,0
37,077,2086,22,0
37,079,630,8,0
37,081,15844,45,0
37,083,1927,11,0
37,085,4542,34,0
37,087,7106,19,0
37,089,7215,19,1
37,091,813,5,0
37,093,1759,15,0
37,095,593,0,0
37,097,7269,24,0
37,099,5084,19,0
37,101,6224,43,0
37,103,752,7,0
37,105,2188,87,75
37,107,2325,20,1
37,109,3145,15,0
37,111,2629,13,0
37,113,5139,22,0
37,115,2618,12,0
37,117,1073,10,0
37,119,27800,122,1
37,121,1154,3,0
37,123,1806,6,0
37,125,4864,25,0
37,127,3531,21,0
37,129,6602,31,4
37,131,1161,7,0
37,133,5456,28,0
37,135,6658,32,1
37,137,895,20,0
37,139,1103,10,0
37,141,2270,11,1
37,143,788,3,0
37,145,1919,10,0
37,147,4941,28,0
37,149,1824,6,0
37,151,4866,32,0
37,153,2134,9,0
37,155,4557,12,0
37,157,3833,19,0
37,159,5183,21,0
37,161,4417,22,0
37,163,2895,16,0
37,165,1388,7,0
37,167,2295,17,0
37,169,2659,10,0
37,171,5040,25,0
37,173,2381,15,0
37,175,3728,13,0
37,177,266,1,0
37,179,7352,49,1
37,181,1904,6,0
37,183,35506,160,0
37,185,1662,30,0
37,187,649,3,0
37,189,4894,24,0
37,191,3945,25,0
37,193,3792,11,0
37,195,2272,13,0
37,197,2182,13,0
37,199,2313,0,0
45,001,1520,24,0
45,003,7097,84,32
45,005,941,11,0
45,007,8478,52,0
45,009,1337,4,0
45,011,1407,10,0
45,013,8411,52,4
45,015,8156,38,0
45,017,1137,8,0
45,019,13900,34,2
45,021,2767,15,0
45,023,2025,10,0
45,025,2793,29,0
45,027,1720,17,0
45,029,2471,10,4
45,031,3186,17,0
45,033,1579,13,0
45,035,4379,14,0
45,037,1114,3,0
45,039,1434,6,0
45,041,5378,39,1
45,043,3787,8,0
45,045,16952,190,109
45,047,2928,15,0
45,049,1473,13,1
45,051,12826,33,0
45,053,1763,11,0
45,055,2509,34,11
45,057,3565,35,0
45,059,3976,25,2
45,061,1009,24,0
45,063,8737,50,0
45,065,1221,9,0
45,067,2276,20,0
45,069,1583,12,0
45,071,2296,5,0
45,073,7519,48,2
45,075,5176,17,1
45,077,6275,24,0
45,079,11859,91,0
45,081,1275,6,0
45,083,11923,100,37
45,085,4475,17,0
45,087,1599,17,0
45,089,1660,8,0
45,091,8534,36,1
